id,long_name,is_in_sydney
2606_81,"Lake Haven to Tuggerah via Kanwal, Wyongah and Wadalba",False
2606_82,"Lake Haven to Tuggerah via Wyongah, Tuggerawong and Tacoma",False
2606_90,LakeHaven to Toukley and Budgewoi (Loop Service),False
2606_91,Lake Haven to Norah Head via Toukley and Noraville (Loop Service),False
2606_92,Lake Haven to Budgewoi and Toukley (Loop Service),False
2606_93,Noraville to Tuggerah via Wyong and Toukley,False
2606_94,Budgewoi to Tuggerah via San Remo and Wyong,False
2606_95,Lake Haven to Morisset via Gwandalan and Mannering Park,False
2606_95X,Lake Haven to Wyee via Gwandalan,False
2606_96,Budgewoi to Wyee via Blue Haven,False
2606_97,Lake Haven to Wyee and Mannering Park (Loop Service),False
2606_98,Lake Haven to Chain Valley Bay via Blue Haven (Loop Service),False
2606_99,"Charlestown to Lake Haven via Swansea, Gwandalan and Blue Haven",False
2607_14X,Tuggerah to The Entrance,False
2607_15,Tuggerah to Bay Village,False
2607_16,Wyong to The Entrance,False
2607_17,Gosford to The Entrance North,False
2607_17X,Gosford to The Entrance,False
2607_18,Gosford to The Entrance,False
2607_19,Gosford to Wyong,False
2607_20,Gosford to Matcham via Erina Fair (Loop Service),False
2607_21,Gosford to The Entrance North via Bateau Bay East,False
2607_22,Gosford to The Entrance via Killarney Vale,False
2607_23,Gosford to The Entrance via Bateau Bay West,False
2607_24,Wyong to The Entrance,False
2607_25,Wyong to The Entrance,False
2607_26,Wyong to The Entrance,False
2607_28,Gosford to The Entrance via Springfield,False
2607_29,Wyong Hospital to Bay Village via Lake Haven,False
2607_30,South Tacoma to Wyong (Loop Service),False
2607_40,North Gosford to Gosford (Loop Service),False
2607_41,West Gosford to Gosford (Loop Service),False
2607_42,Point Frederick to Gosford,False
2607_43,Gosford to Springfield,False
2607_44,Gosford to Erina Fair via Springfield,False
2607_45,Bay Village to Mingara via Bateau Bay West,False
2607_47,Tuggerah to Ourimbah,False
2607_48,Bay Village to Tumbi Umbi (Loop Service),False
2508_100,Taronga Zoo to City QVB,True
2508_111,South Mosman Wharf to Chowder Bay,True
2508_114,Royal North Shore Hospital to Balmoral,True
2508_142,Manly to Allambie Heights,True
2508_144,Chatswood to Manly via St Leonards,True
2508_145,Seaforth to Warringah Mall,False
2508_150X,Milsons Point to Manly (Express Service),True
2508_154X,Milsons Point to Dee Why (Express Service),True
2508_155,Frenchs Forest to Bayview Garden Village,True
2508_156,Mona Vale to McCarrs Creek,False
2508_160X,Chatswood to Dee Why via Frenchs Forest (Express Service),True
2508_161,Manly to North Head (Loop Service),False
2508_162,Manly to Seaforth,False
2508_165X,City Wynyard to South Curl Curl (Express Service),True
2508_166,Manly to Frenchs Forest via Dee Why Beach,True
2508_167,Manly to Warringah Mall via South Curl Curl,False
2508_168X,City Wynyard to Balgowlah via North Balgowlah (Express Service),True
2508_170X,City Wynyard to Manly (Express Service),True
2508_171X,City Wynyard to Balgowlah via Clontarf (Express Service),True
2508_172X,City Wynyard to Warringah Mall via North Balgowlah (Express Service),True
2508_173X,City Wynyard to Warringah Mall via Balgowlah Shops (Express Service),True
2508_174X,City Wynyard to Narraweena (Express Service),True
2508_176X,City Wynyard to Dee Why via North Curl Curl (Express Service),True
2508_177,Warringah Mall to Dee Why,False
2508_177X,City Wynyard to Dee Why via Wingala (Express Service),True
2508_178,Warringah Mall to Cromer Heights,False
2508_179,Warringah Mall to Wheeler Heights,False
2508_180,Warringah Mall to Collaroy Plateau,False
2508_180X,City Wynyard to Collaroy Plateau (Express Service),True
2508_181X,City Wynyard to Narrabeen (Express Service),True
2508_182,Narrabeen to Mona Vale,False
2508_185,Narrabeen to Mona Vale via Warriewood Valley,False
2508_190X,City Wynyard to North Avalon (Express Service),True
2508_191,Avalon Beach to Taylors Point (Loop Service),False
2508_192,Avalon Beach to Stokes Point (Loop Service),False
2508_199,Manly to Palm Beach via Dee Why and Mona Vale,False
2508_201,City Bridge St to Cremorne,True
2508_225,Neutral Bay Wharf to Cremorne Point Wharf,True
2508_228,Mosman to Clifton Gardens,False
2508_229,North Sydney to Beauty Point,True
2508_230,Milsons Point to Mosman Wharf via North Sydney,True
2508_238,Balmoral to Taronga Zoo Wharf,False
2508_243,City Wynyard to Spit Junction via North Cremorne,True
2508_246,City Wynyard to Balmoral Heights,True
2508_249,City Wynyard to Beauty Point,True
2508_263,City Bridge St to Crows Nest via Cremorne,True
2508_280,Chatswood to Warringah Mall,True
2508_B1,B-Line City Wynyard to Mona Vale,True
2508_BN1,B-Line City QVB to Mona Vale (Night Service),True
SMNW_M1,M1 Metro North West and Bankstown Line,True
2509_001,Moore Park Interchange to Central Chalmers Street,True
2509_304,City Circular Quay to Green Square (Loop Service),True
2509_306,Redfern to Mascot Station (Loop Service),True
2509_307,Eastgardens to Mascot Station (Loop Service),True
2509_309,Redfern to Port Botany,True
2509_310,Central Railway Square to Botany,True
2509_311,City Millers Point to Central Belmore Park via Potts Point and Darlinghurst,True
2509_313,Bondi Junction to Coogee via Carrington Rd,False
2509_323,Edgecliff to North Bondi via New South Head Rd,True
2509_324,City Walsh Bay to Watsons Bay via Old South Head Rd,True
2509_325,City Walsh Bay to Watsons Bay via Vaucluse Rd,True
2509_326,Edgecliff to Bondi Junction via Bellevue Hill,True
2509_327,Edgecliff to Bondi Junction via Manning Rd and Bellevue Rd,True
2509_328,Bondi Junction to Darling Point via Edgecliff (Loop Service),True
2509_333,City Circular Quay to North Bondi via Bondi Junction,True
2509_339,Clovelly to Central Foveaux St (Loop Service),True
2509_339X,City Martin Place to Clovelly (Express Service),True
2509_342,Kingsford to Daceyville,True
2509_343,City Circular Quay to Kingsford,True
2509_350,Bondi Junction to Sydney Airport Domestic,True
2509_352,"Bondi Junction to Marrickville Metro via Oxford St, Crown St and King St",True
2509_355,Bondi Junction to Marrickville Metro via Moore Park and Erskineville,True
2509_356,Bondi Junction to Eastgardens,True
2509_360,Bondi Junction to Clovelly,False
2509_362,Rose Bay to Coogee,False
2509_370,Glebe Point to Coogee,True
2509_373,Coogee to City Museum (Loop Service),True
2509_373X,City Martin Place to Coogee (Express Service),True
2509_374,Central Belmore Park to Coogee via Bream St,True
2509_374X,City Martin Place to Coogee via Bream St (Express Service),True
2509_375,Eastgardens to Randwick (Loop Service),True
2509_377X,City Martin Place to Maroubra Beach via South Coogee (Express Service),True
2509_379,Bronte to North Bondi,False
2509_380,Bondi Junction to Watsons Bay via Bondi Beach,False
2509_381,Bondi Junction to Tamarama (Loop Service),False
2509_386,Bondi Junction to Vaucluse via New South Head Rd and Old South Head Rd,False
2509_387,Bondi Junction to South Head Cemetery,False
2509_388,Paddington to Bondi Junction,True
2509_390X,Bondi Junction to La Perouse (Express Service),True
2509_392N,City Circular Quay to Matraville (Night Service),True
2509_392,Redfern to Little Bay,True
2509_392X,Little Bay to City Museum (Loop Service),True
2509_393,Eastgardens to Matraville,True
2509_394X,La Perouse to City Museum (Express Service),True
2509_396,City Circular Quay to Maroubra Beach,True
2509_396X,City Martin Place to Maroubra Beach (Express Service),True
2509_397,Eastgardens to South Maroubra (Loop Service),True
2509_397X,City Martin Place to South Maroubra (Express Service),True
